Chemical symbol 	Name 	Origin of symbol 	Atomic Number 	Atomic mass 	Density	Melting point 	Boiling point 	Year of discovery 	Discoverer
Ac 	Actinium 		89	227.0278 	10.07 	1047 	3197 	1899	Debierne
Ag 	Silver 	Latin Argentum 	47	107.8682 	10.49 	961.9 	2212 	prehistoric 	unknown
Al 	Aluminium 		13	26.981539 	2.70 	660.5 	2467 	1825	Oersted
Am 	Americium 		95	243.0614 	13.67 	994 	2607 	1944	Seaborg
Ar 	Argon 		18	39.948 	1.66 g/l 	-189.4 	-185.9 	1894	Ramsay and Rayleigh
As 	Arsenic 		33	74.92159 	5.72 	613 	613 (Subl.) 	ca. 1250 	Albertus Magnus
At 	Astatine 		85	209.9871 		302 	337 	1940	Corson and MacKenzie
Au 	Gold 	Latin Aurum 	79	196.96654 	19.32 	1064.4 	2940 	prehistoric 	unknown
B 	Boron 		5	10.811 	2.46 	2300 	2550 	1808	Davy and Gay-Lussac
Ba 	Barium 		56	137.327 	3.65 	725 	1640 	1808	Davy
Be 	Beryllium 		4	9.012182 	1.85 	1278 	2970 	1797	Vauquelin
Bh 	Bohrium 		107	262.1229 				1976	Oganessian
Bi 	Bismuth 		83	208.98037 	9.80 	271.4 	1560 	1540	Agricola
Bk 	Berkelium 		97	247.0703 	13.25 	986 		1949	Seaborg
Br 	Bromine		35	79.904 	3.14 	-7.3 	58.8 	1826	Balard
C 	Carbon 		6	12.011 	3.51 	3550 	4827 	prehistoric 	unknown
Ca 	Calcium 		20	40.078 	1.54 	839 	1487 	1808	Davy
Cd 	Cadmium 		48	112.411 	8.64 	321 	765 	1817	Stromeyer and Hermann
Ce 	Cerium 		58	140.115 	6.77 	798 	3257 	1803	von Hisinger and Berzelius
Cf 	Californium 		98	251.0796 	15.1 	900 		1950	Seaborg
Cl 	Chlorine 		17	35.4527 	2.95 g/l 	-34.6 	-101 	1774	Scheele
Cm 	Curium 		96	247.0703 	13.51 	1340 		1944	Seaborg
Co 	Cobalt 		27	58.9332 	8.89 	1495 	2870 	1735	Brandt
Cr 	Chromium 		24	51.9961 	7.14 	1857 	2482 	1797	Vauquelin
Cs 	Caesium 		55	132.90543 	1.90 	28.4 	690 	1860	Kirchhoff and Bunsen
Cu 	Copper 	Latin Cuprum 	29	63.546 	8.92 	1083.5 	2595 	prehistoric 	unknown
Db 	Dubnium 		105	262.1138 				1967/70 	Flerow oder Ghiorso
Ds 	Darmstadtium 		110	269 				1994	Society for Heavy Ion Research
Dy 	Dysprosium 		66	162.5 	8.56 	1409 	2335 	1886	Lecoq de Boisbaudran
Er 	Erbium 		68	167.26 	9.05 	1522 	2510 	1842	Mosander
Es 	Einsteinium 		99	252.0829 		860 		1952	Seaborg
Eu 	Europium 		63	151.965 	5.25 	822 	1597 	1901	Demacay
F 	Fluorine 		9	18.9984032 	1.58 g/l 	-219.6 	-188.1 	1886	Moissan
Fe 	Iron 	Latin Ferrum 	26	55.847 	7.87 	1535 	2750 	prehistoric 	unknown
Fm 	Fermium 		100	257.0951 				1952	Seaborg
Fr 	Francium 		87	223.0197 		27 	677 	1939	Perey
Ga 	Gallium 		31	69.723 	5.91 	29.8 	2403 	1875	Lecoq de Boiskaudran
Gd 	Gadolinium 		64	157.25 	7.89 	1311 	3233 	1880	de Marignac
Ge 	Germanium 		32	72.61 	5.32 	937.4 	2830 	1886	Winkler
H 	Hydrogen 		1	1.00794 	0.084 g/l 	-259.1 	-252.9 	1766	Cavendish
